ID,Nombre,Estado,Alcance,Fecha de Inicio,Fecha de Término,Código CUT Comuna,Detalle,Superficie en m2,Perímetro en m
26,Quinta Normal,Activa,Comuna completa,2020-04-24 02:00:00,2020-05-30 02:00:00,13126,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,17014139.1523438,21243.797016579
27,Pedro Aguirre Cerda,Activa,Comuna completa,2020-04-24 02:00:00,2020-05-30 02:00:00,13121,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,12625146.265625,15651.7189634514
28,Independencia Sur (Re-ingreso),Histórica,Sector Específico,2020-04-24 02:00:00,2020-05-01 02:00:00,13108,"Corresponde al sector delimitado por la linea comprendida de las calles Gamero y Santos Dumont hacia el sur, se extiende a cuarentena total el 30 de abril",2460063.44140625,8284.04113571919
29,Victoria,Histórica,Área Urbana Completa,2020-05-01 02:00:00,2020-05-16 02:00:00,9211,Aplica solo hasta el límite urbano de la ciudad,9256998.9140625,36013.0185048258
30,Angol,Histórica,Área Urbana Completa,2020-05-01 02:00:00,2020-05-16 02:00:00,9201,Aplica solo hasta el límite urbano de la ciudad,16903887.625,56627.2046086798
31,San Ramon Sur,Histórica,Sector Específico,2020-05-01 02:00:00,2020-05-09 02:00:00,13131,Se aplica cuarentena en sector sur de la comuna delimitado por la Avenida Américo Vespucio. Se extiende posterior al término a una cuarentena de territorio completo,4606059.17382813,8714.79986943619
32,Estación Central,Activa,Comuna completa,2020-05-01 02:00:00,2020-05-30 02:00:00,13106,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,20682566.4921875,22689.2274650058
33,Independencia Extensión a Total,Activa,Comuna completa,2020-05-01 02:00:00,2020-05-30 02:00:00,13108,Aplicada a la totalidad de la comuna. Extendida desde el sector sur a la comuna completa. Se incorpora a cuarentena del Gran Santiago,10582914.0429688,13699.9128448926
34,La Pintana Norte,Histórica,Sector Específico,2020-05-01 02:00:00,2020-05-09 02:00:00,13112,Se aplica cuarentena en el sector norte de la comuna delimitado por la Avenida el Observatorio hacia el norte. . Se extiende posterior al término a una cuarentena de territorio completo,4883155.13476563,12416.9778362389
35,Antofagasta,Activa,Área Urbana Completa,2020-05-06 02:00:00,2020-05-30 02:00:00,2101,Aplica solo hasta el límite urbano de la ciudad,43532156.4257813,134484.167871907
36,Mejillones,Activa,Comuna completa,2020-05-06 02:00:00,2020-05-30 02:00:00,2102,Aplicada a la totalidad de la comuna,4230181342.99414,395409.359038385
37,Recoleta,Activa,Comuna completa,2020-05-06 02:00:00,2020-05-30 02:00:00,13127,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,22715640.5234375,22324.0747754827
38,Cerrillos,Activa,Comuna completa,2020-05-06 02:00:00,2020-05-30 02:00:00,13102,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,24198337.6621094,25227.7694753954
39,Quilicura,Histórica,Sector Específico,2020-05-06 02:00:00,2020-05-16 02:00:00,13125,Delimitada por la linea ferroviaria que cruza la comuna hacia el poniente. Se incorpora y amplia a extensión total a cuarentena del Gran Santiago,60071059.15625,32915.9895053343
40,Santiago Extensión a Total,Activa,Comuna completa,2020-05-06 02:00:00,2020-05-30 02:00:00,13101,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,33329909.4960938,29265.4336900164
41,Cerro Navia,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13103,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,15975127.9863281,19974.248542906
42,Conchalí,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13104,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,15979605.8085938,16815.7934099155
43,Lo Espejo,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13116,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,11886614.0898438,13762.0736724309
44,La Cisterna,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13109,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,14401733.5859375,15356.421889586
45,La Florida,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13110,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,102214162.755859,59430.2695012662
46,Peñalolen,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13122,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,77293355.8457031,43926.3659584545
47,Lo Prado,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13117,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,9448923.36523438,12856.5022905017
48,Macul,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13118,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,18517268.578125,18417.8115619807
49,Renca,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13128,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,34181427.8125,34681.9394332968
50,San Joaquín,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13129,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,14337674.6074219,16946.3826485334
51,San Miguel,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13130,Aplicada a la totalidad de la comuna. Se incorpora a cuarentena del Gran Santiago,13863805.7050781,16029.8040021794
52,La Granja,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13111,Aplicada a la totalidad de la comuna. Se incorpora y amplia a extensión total a cuarentena del Gran Santiago,14562829.4550781,16986.3556262322
53,La Pintana Extensión a Total,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13112,Se amplía a toda la comuna desde su extensión original. Se incorpora y amplia a extensión total a cuarentena del Gran Santiago,44005772.3105469,31961.0278584575
54,San Ramón Extensión a Total,Activa,Comuna completa,2020-05-09 02:00:00,2020-05-30 02:00:00,13131,Se amplía a toda la comuna desde su extensión original. Se incorpora y amplia a extensión total a cuarentena del Gran Santiago,9061336.23046875,14097.9605564344
55,Puente Alto Poniente Extendido,Histórica,Sector Específico,2020-05-09 02:00:00,2020-05-16 02:00:00,13201,Se amplia desde el límite actual (Av. Concha y Toro) hacia el oriente con límite en el Canal San Carlos. Se incorpora y amplia a extensión total a cuarentena del Gran Santiago,89693170.625,58094.3823765891
56,San Bernardo Nororiente Extendido,Histórica,Sector Específico,2020-05-09 02:00:00,2020-05-16 02:00:00,13401,"Corresponde al sector delimitado por los limites comunales y al interior a la linea comprendida entre Camino el Mariscal y Avenida San Jose, Av. Balmaceda y Autopista Central. Se incorpora y amplia a extensión total a cuarentena del Gran Santiago",22289080.8828125,27208.6722808201
57,Alto Hospicio,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,1107,Aplicada a la totalidad de la comuna,655133931.175781,109806.644974769
58,Iquique,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,1101,Aplicada a la totalidad de la comuna,2636677588.45313,473982.696822035
59,Buin,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13402,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,315447694.376953,106661.453928384
60,Pudahuel,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13124,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,283948656.376953,86170.5795723086
61,Colina,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13301,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,1388393075.82031,206066.838439161
62,Lampa,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13302,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,645813313.240234,127669.572849804
63,Huechuraba,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13107,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,64546615.3515625,39133.1212126811
64,Las Condes Re-ingreso Total,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13114,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,142593822.224609,62012.7380642498
65,La Reina,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13113,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,33764086.1796875,28525.5270919057
66,Lo Barnechea Re-ingreso total,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13115,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,1469176023.56641,179591.206411362
67,Vitacura Re-ingreso Total,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13132,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,40872314.0898438,31136.2480827119
68,Maipú,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13119,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,198564410.646484,73872.6258555928
69,Ñuñoa Re-ingreso Total,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13120,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,24288323.7734375,21382.6382684562
70,Padre Hurtado,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13604,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,117050934.980469,61176.6714847736
71,Puente Alto Extensión a Total,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13201,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,127531919.042969,59827.7119649119
72,Quilicura Extensión a Total,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13125,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,82391551.0488281,41916.2560534792
73,San Bernardo Extensión a Total,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13401,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,221119742.068359,103398.390100715
74,Providencia Re-ingreso total,Activa,Comuna completa,2020-05-16 02:00:00,2020-05-30 02:00:00,13123,Incorporada como parte de la Cuarentena del Gran Santiago y Alrededores a todo el territorio,20727385.15625,19429.199340283
75,Lonquimay,Futura,Comuna completa,2020-05-23 02:00:00,2020-05-30 02:00:00,9205,Aplicada a la totalidad por criterios de capacidad sanitaria y aumento sustantivo de casos,6426178803.84766,454701.679855686
