Region,Codigo region,Poblacion,fecha,numero
Antofagasta,02,691854,2020-04-14,95
Atacama,03,314709,2020-04-14,22
Coquimbo,04,836096,2020-04-14,
Valparaíso,05,1960170,2020-04-14,92
Metropolitana,13,8125072,2020-04-14,1656
O’Higgins,06,991063,2020-04-14,30
Maule,07,1131939,2020-04-14,160
Ñuble,16,511551,2020-04-14,
Biobío,08,1663696,2020-04-14,218
Araucanía,09,1014343,2020-04-14,148
Los Ríos,14,405835,2020-04-14,67
Los Lagos,10,891440,2020-04-14,131
Aysén,11,107297,2020-04-14,12
Magallanes,12,178362,2020-04-14,35
Arica y Parinacota,15,252110,2020-04-15,24
Tarapacá,01,382773,2020-04-15,
Antofagasta,02,691854,2020-04-15,117
Atacama,03,314709,2020-04-15,25
Coquimbo,04,836096,2020-04-15,
Valparaíso,05,1960170,2020-04-15,385
Metropolitana,13,8125072,2020-04-15,2694
O’Higgins,06,991063,2020-04-15,30
Maule,07,1131939,2020-04-15,
Ñuble,16,511551,2020-04-15,
Biobío,08,1663696,2020-04-15,311
Araucanía,09,1014343,2020-04-15,218
Los Ríos,14,405835,2020-04-15,67
Los Lagos,10,891440,2020-04-15,137
Aysén,11,107297,2020-04-15,8
Magallanes,12,178362,2020-04-15,63
Arica y Parinacota,15,252110,2020-04-16,198
Tarapacá,01,382773,2020-04-16,30
Antofagasta,02,691854,2020-04-16,117
Atacama,03,314709,2020-04-16,29
Coquimbo,04,836096,2020-04-16,
Valparaíso,05,1960170,2020-04-16,240
Metropolitana,13,8125072,2020-04-16,4356
O’Higgins,06,991063,2020-04-16,58
Maule,07,1131939,2020-04-16,469
Ñuble,16,511551,2020-04-16,110
Biobío,08,1663696,2020-04-16,408
Araucanía,09,1014343,2020-04-16,246
Los Ríos,14,405835,2020-04-16,49
Los Lagos,10,891440,2020-04-16,139
Aysén,11,107297,2020-04-16,16
Magallanes,12,178362,2020-04-16,86
Arica y Parinacota,15,252110,2020-04-17,131
Tarapacá,01,382773,2020-04-17,
Antofagasta,02,691854,2020-04-17,143
Atacama,03,314709,2020-04-17,37
Coquimbo,04,836096,2020-04-17,
Valparaíso,05,1960170,2020-04-17,246
Metropolitana,13,8125072,2020-04-17,3670
O’Higgins,06,991063,2020-04-17,50
Maule,07,1131939,2020-04-17,367
Ñuble,16,511551,2020-04-17,159
Biobío,08,1663696,2020-04-17,80
Araucanía,09,1014343,2020-04-17,220
Los Ríos,14,405835,2020-04-17,71
Los Lagos,10,891440,2020-04-17,198
Aysén,11,107297,2020-04-17,8
Magallanes,12,178362,2020-04-17,69
Arica y Parinacota,15,252110,2020-04-18,
Tarapacá,01,382773,2020-04-18,60
Antofagasta,02,691854,2020-04-18,200
Atacama,03,314709,2020-04-18,50
Coquimbo,04,836096,2020-04-18,
Valparaíso,05,1960170,2020-04-18,330
Metropolitana,13,8125072,2020-04-18,2744
O’Higgins,06,991063,2020-04-18,
Maule,07,1131939,2020-04-18,176
Ñuble,16,511551,2020-04-18,76
Biobío,08,1663696,2020-04-18,751
Araucanía,09,1014343,2020-04-18,169
Los Ríos,14,405835,2020-04-18,91
Los Lagos,10,891440,2020-04-18,315
Aysén,11,107297,2020-04-18,8
Magallanes,12,178362,2020-04-18,48
Arica y Parinacota,15,252110,2020-04-19,155
Tarapacá,01,382773,2020-04-19,0
Antofagasta,02,691854,2020-04-19,129
Atacama,03,314709,2020-04-19,31
Coquimbo,04,836096,2020-04-19,
Valparaíso,05,1960170,2020-04-19,166
Metropolitana,13,8125072,2020-04-19,3475
O’Higgins,06,991063,2020-04-19,0
Maule,07,1131939,2020-04-19,0
Ñuble,16,511551,2020-04-19,127
Biobío,08,1663696,2020-04-19,358
Araucanía,09,1014343,2020-04-19,122
Los Ríos,14,405835,2020-04-19,0
Los Lagos,10,891440,2020-04-19,96
Aysén,11,107297,2020-04-19,6
Magallanes,12,178362,2020-04-19,93
Arica y Parinacota,15,252110,2020-04-20,48
Tarapacá,01,382773,2020-04-20,0
Antofagasta,02,691854,2020-04-20,197
Atacama,03,314709,2020-04-20,33
Coquimbo,04,836096,2020-04-20,
Valparaíso,05,1960170,2020-04-20,177
Metropolitana,13,8125072,2020-04-20,3276
O’Higgins,06,991063,2020-04-20,72
Maule,07,1131939,2020-04-20,328
Ñuble,16,511551,2020-04-20,149
Biobío,08,1663696,2020-04-20,214
Araucanía,09,1014343,2020-04-20,376
Los Ríos,14,405835,2020-04-20,121
Los Lagos,10,891440,2020-04-20,139
Aysén,11,107297,2020-04-20,0
Magallanes,12,178362,2020-04-20,48
Arica y Parinacota,15,252110,2020-04-21,52
Tarapacá,01,382773,2020-04-21,30
Antofagasta,02,691854,2020-04-21,147
Atacama,03,314709,2020-04-21,33
Coquimbo,04,836096,2020-04-21,
Valparaíso,05,1960170,2020-04-21,142
Metropolitana,13,8125072,2020-04-21,2126
O’Higgins,06,991063,2020-04-21,65
Maule,07,1131939,2020-04-21,188
Ñuble,16,511551,2020-04-21,73
Biobío,08,1663696,2020-04-21,216
Araucanía,09,1014343,2020-04-21,206
Los Ríos,14,405835,2020-04-21,58
Los Lagos,10,891440,2020-04-21,149
Aysén,11,107297,2020-04-21,4
Magallanes,12,178362,2020-04-21,41
Arica y Parinacota,15,252110,2020-04-22,0
Tarapacá,01,382773,2020-04-22,59
Antofagasta,02,691854,2020-04-22,152
Atacama,03,314709,2020-04-22,47
Coquimbo,04,836096,2020-04-22,29
Valparaíso,05,1960170,2020-04-22,384
Metropolitana,13,8125072,2020-04-22,3917
O’Higgins,06,991063,2020-04-22,0
Maule,07,1131939,2020-04-22,724
Ñuble,16,511551,2020-04-22,221
Biobío,08,1663696,2020-04-22,340
Araucanía,09,1014343,2020-04-22,176
Los Ríos,14,405835,2020-04-22,54
Los Lagos,10,891440,2020-04-22,209
Aysén,11,107297,2020-04-22,4
Magallanes,12,178362,2020-04-22,49
Arica y Parinacota,15,252110,2020-04-23,169
Tarapacá,01,382773,2020-04-23,30
Antofagasta,02,691854,2020-04-23,146
Atacama,03,314709,2020-04-23,57
Coquimbo,04,836096,2020-04-23,22
Valparaíso,05,1960170,2020-04-23,90
Metropolitana,13,8125072,2020-04-23,3712
O’Higgins,06,991063,2020-04-23,86
Maule,07,1131939,2020-04-23,663
Ñuble,16,511551,2020-04-23,189
Biobío,08,1663696,2020-04-23,468
Araucanía,09,1014343,2020-04-23,370
Los Ríos,14,405835,2020-04-23,67
Los Lagos,10,891440,2020-04-23,335
Aysén,11,107297,2020-04-23,21
Magallanes,12,178362,2020-04-23,0
Arica y Parinacota,15,252110,2020-04-24,85
Tarapacá,01,382773,2020-04-24,203
Antofagasta,02,691854,2020-04-24,166
Atacama,03,314709,2020-04-24,77
Coquimbo,04,836096,2020-04-24,44
Valparaíso,05,1960170,2020-04-24,293
Metropolitana,13,8125072,2020-04-24,4376
O’Higgins,06,991063,2020-04-24,72
Maule,07,1131939,2020-04-24,606
Ñuble,16,511551,2020-04-24,0
Biobío,08,1663696,2020-04-24,340
Araucanía,09,1014343,2020-04-24,306
Los Ríos,14,405835,2020-04-24,87
Los Lagos,10,891440,2020-04-24,324
Aysén,11,107297,2020-04-24,48
Magallanes,12,178362,2020-04-24,93
Arica y Parinacota,15,252110,2020-04-25,90
Tarapacá,01,382773,2020-04-25,118
Antofagasta,02,691854,2020-04-25,217
Atacama,03,314709,2020-04-25,46
Coquimbo,04,836096,2020-04-25,42
Valparaíso,05,1960170,2020-04-25,262
Metropolitana,13,8125072,2020-04-25,4218
O’Higgins,06,991063,2020-04-25,0
Maule,07,1131939,2020-04-25,254
Ñuble,16,511551,2020-04-25,371
Biobío,08,1663696,2020-04-25,354
Araucanía,09,1014343,2020-04-25,347
Los Ríos,14,405835,2020-04-25,77
Los Lagos,10,891440,2020-04-25,406
Aysén,11,107297,2020-04-25,30
Magallanes,12,178362,2020-04-25,113
Arica y Parinacota,15,252110,2020-04-26,73
Tarapacá,01,382773,2020-04-26,58
Antofagasta,02,691854,2020-04-26,214
Atacama,03,314709,2020-04-26,54
Coquimbo,04,836096,2020-04-26,72
Valparaíso,05,1960170,2020-04-26,201
Metropolitana,13,8125072,2020-04-26,4313
O’Higgins,06,991063,2020-04-26,195
Maule,07,1131939,2020-04-26,349
Ñuble,16,511551,2020-04-26,91
Biobío,08,1663696,2020-04-26,404
Araucanía,09,1014343,2020-04-26,273
Los Ríos,14,405835,2020-04-26,99
Los Lagos,10,891440,2020-04-26,302
Aysén,11,107297,2020-04-26,13
Magallanes,12,178362,2020-04-26,52
Arica y Parinacota,15,252110,2020-04-27,146
Tarapacá,01,382773,2020-04-27,58
Antofagasta,02,691854,2020-04-27,180
Atacama,03,314709,2020-04-27,56
Coquimbo,04,836096,2020-04-27,0
Valparaíso,05,1960170,2020-04-27,167
Metropolitana,13,8125072,2020-04-27,3289
O’Higgins,06,991063,2020-04-27,30
Maule,07,1131939,2020-04-27,535
Ñuble,16,511551,2020-04-27,90
Biobío,08,1663696,2020-04-27,174
Araucanía,09,1014343,2020-04-27,246
Los Ríos,14,405835,2020-04-27,56
Los Lagos,10,891440,2020-04-27,207
Aysén,11,107297,2020-04-27,0
Magallanes,12,178362,2020-04-27,26
Arica y Parinacota,15,252110,2020-04-28,80
Tarapacá,01,382773,2020-04-28,57
Antofagasta,02,691854,2020-04-28,181
Atacama,03,314709,2020-04-28,73
Coquimbo,04,836096,2020-04-28,148
Valparaíso,05,1960170,2020-04-28,184
Metropolitana,13,8125072,2020-04-28,2975
O’Higgins,06,991063,2020-04-28,95
Maule,07,1131939,2020-04-28,255
Ñuble,16,511551,2020-04-28,59
Biobío,08,1663696,2020-04-28,234
Araucanía,09,1014343,2020-04-28,218
Los Ríos,14,405835,2020-04-28,54
Los Lagos,10,891440,2020-04-28,225
Aysén,11,107297,2020-04-28,29
Magallanes,12,178362,2020-04-28,63
Arica y Parinacota,15,252110,2020-04-29,61
Tarapacá,01,382773,2020-04-29,111
Antofagasta,02,691854,2020-04-29,198
Atacama,03,314709,2020-04-29,112
Coquimbo,04,836096,2020-04-29,74
Valparaíso,05,1960170,2020-04-29,169
Metropolitana,13,8125072,2020-04-29,4349
O’Higgins,06,991063,2020-04-29,105
Maule,07,1131939,2020-04-29,58
Ñuble,16,511551,2020-04-29,104
Biobío,08,1663696,2020-04-29,230
Araucanía,09,1014343,2020-04-29,275
Los Ríos,14,405835,2020-04-29,98
Los Lagos,10,891440,2020-04-29,390
Aysén,11,107297,2020-04-29,53
Magallanes,12,178362,2020-04-29,67
Arica y Parinacota,15,252110,2020-04-30,84
Tarapacá,01,382773,2020-04-30,124
Antofagasta,02,691854,2020-04-30,259
Atacama,03,314709,2020-04-30,107
Coquimbo,04,836096,2020-04-30,78
Valparaíso,05,1960170,2020-04-30,278
Metropolitana,13,8125072,2020-04-30,5282
O’Higgins,06,991063,2020-04-30,111
Maule,07,1131939,2020-04-30,249
Ñuble,16,511551,2020-04-30,120
Biobío,08,1663696,2020-04-30,534
Araucanía,09,1014343,2020-04-30,201
Los Ríos,14,405835,2020-04-30,93
Los Lagos,10,891440,2020-04-30,276
Aysén,11,107297,2020-04-30,22
Magallanes,12,178362,2020-04-30,80
Arica y Parinacota,15,252110,2020-05-01,124
Tarapacá,01,382773,2020-05-01,8
Antofagasta,02,691854,2020-05-01,164
Atacama,03,314709,2020-05-01,114
Coquimbo,04,836096,2020-05-01,166
Valparaíso,05,1960170,2020-05-01,450
Metropolitana,13,8125072,2020-05-01,6144
O’Higgins,06,991063,2020-05-01,94
Maule,07,1131939,2020-05-01,187
Ñuble,16,511551,2020-05-01,129
Biobío,08,1663696,2020-05-01,296
Araucanía,09,1014343,2020-05-01,421
Los Ríos,14,405835,2020-05-01,122
Los Lagos,10,891440,2020-05-01,371
Aysén,11,107297,2020-05-01,0
Magallanes,12,178362,2020-05-01,126
Arica y Parinacota,15,252110,2020-05-02,87
Tarapacá,01,382773,2020-05-02,102
Antofagasta,02,691854,2020-05-02,312
Atacama,03,314709,2020-05-02,105
Coquimbo,04,836096,2020-05-02,165
Valparaíso,05,1960170,2020-05-02,327
Metropolitana,13,8125072,2020-05-02,6922
O’Higgins,06,991063,2020-05-02,181
Maule,07,1131939,2020-05-02,339
Ñuble,16,511551,2020-05-02,101
Biobío,08,1663696,2020-05-02,483
Araucanía,09,1014343,2020-05-02,194
Los Ríos,14,405835,2020-05-02,133
Los Lagos,10,891440,2020-05-02,412
Aysén,11,107297,2020-05-02,46
Magallanes,12,178362,2020-05-02,58
Arica y Parinacota,15,252110,2020-05-03,41
Tarapacá,01,382773,2020-05-03,90
Antofagasta,02,691854,2020-05-03,271
Atacama,03,314709,2020-05-03,75
Coquimbo,04,836096,2020-05-03,102
Valparaíso,05,1960170,2020-05-03,251
Metropolitana,13,8125072,2020-05-03,4570
O’Higgins,06,991063,2020-05-03,63
Maule,07,1131939,2020-05-03,302
Ñuble,16,511551,2020-05-03,97
Biobío,08,1663696,2020-05-03,251
Araucanía,09,1014343,2020-05-03,354
Los Ríos,14,405835,2020-05-03,70
Los Lagos,10,891440,2020-05-03,220
Aysén,11,107297,2020-05-03,32
Magallanes,12,178362,2020-05-03,29
Arica y Parinacota,15,252110,2020-05-04,89
Tarapacá,01,382773,2020-05-04,90
Antofagasta,02,691854,2020-05-04,231
Atacama,03,314709,2020-05-04,70
Coquimbo,04,836096,2020-05-04,191
Valparaíso,05,1960170,2020-05-04,196
Metropolitana,13,8125072,2020-05-04,5631
O’Higgins,06,991063,2020-05-04,72
Maule,07,1131939,2020-05-04,322
Ñuble,16,511551,2020-05-04,69
Biobío,08,1663696,2020-05-04,355
Araucanía,09,1014343,2020-05-04,204
Los Ríos,14,405835,2020-05-04,70
Los Lagos,10,891440,2020-05-04,262
Aysén,11,107297,2020-05-04,0
Magallanes,12,178362,2020-05-04,61
Arica y Parinacota,15,252110,2020-05-05,86
Tarapacá,01,382773,2020-05-05,123
Antofagasta,02,691854,2020-05-05,182
Atacama,03,314709,2020-05-05,111
Coquimbo,04,836096,2020-05-05,0
Valparaíso,05,1960170,2020-05-05,233
Metropolitana,13,8125072,2020-05-05,5509
O’Higgins,06,991063,2020-05-05,214
Maule,07,1131939,2020-05-05,267
Ñuble,16,511551,2020-05-05,0
Biobío,08,1663696,2020-05-05,416
Araucanía,09,1014343,2020-05-05,364
Los Ríos,14,405835,2020-05-05,90
Los Lagos,10,891440,2020-05-05,243
Aysén,11,107297,2020-05-05,44
Magallanes,12,178362,2020-05-05,82
Arica y Parinacota,15,252110,2020-05-06,77
Tarapacá,01,382773,2020-05-06,53
Antofagasta,02,691854,2020-05-06,236
Atacama,03,314709,2020-05-06,107
Coquimbo,04,836096,2020-05-06,23
Valparaíso,05,1960170,2020-05-06,268
Metropolitana,13,8125072,2020-05-06,6920
O’Higgins,06,991063,2020-05-06,174
Maule,07,1131939,2020-05-06,135
Ñuble,16,511551,2020-05-06,213
Biobío,08,1663696,2020-05-06,473
Araucanía,09,1014343,2020-05-06,436
Los Ríos,14,405835,2020-05-06,95
Los Lagos,10,891440,2020-05-06,686
Aysén,11,107297,2020-05-06,38
Magallanes,12,178362,2020-05-06,79
Arica y Parinacota,15,252110,2020-05-07,123
Tarapacá,01,382773,2020-05-07,221
Antofagasta,02,691854,2020-05-07,247
Atacama,03,314709,2020-05-07,164
Coquimbo,04,836096,2020-05-07,51
Valparaíso,05,1960170,2020-05-07,690
Metropolitana,13,8125072,2020-05-07,8382
O’Higgins,06,991063,2020-05-07,68
Maule,07,1131939,2020-05-07,93
Ñuble,16,511551,2020-05-07,171
Biobío,08,1663696,2020-05-07,736
Araucanía,09,1014343,2020-05-07,413
Los Ríos,14,405835,2020-05-07,142
Los Lagos,10,891440,2020-05-07,449
Aysén,11,107297,2020-05-07,0
Magallanes,12,178362,2020-05-07,168
Arica y Parinacota,15,252110,2020-05-08,92
Tarapacá,01,382773,2020-05-08,169
Antofagasta,02,691854,2020-05-08,291
Atacama,03,314709,2020-05-08,167
Coquimbo,04,836096,2020-05-08,59
Valparaíso,05,1960170,2020-05-08,573
Metropolitana,13,8125072,2020-05-08,7839
O’Higgins,06,991063,2020-05-08,150
Maule,07,1131939,2020-05-08,181
Ñuble,16,511551,2020-05-08,110
Biobío,08,1663696,2020-05-08,647
Araucanía,09,1014343,2020-05-08,391
Los Ríos,14,405835,2020-05-08,127
Los Lagos,10,891440,2020-05-08,849
Aysén,11,107297,2020-05-08,32
Magallanes,12,178362,2020-05-08,58
Arica y Parinacota,15,252110,2020-05-09,127
Tarapacá,01,382773,2020-05-09,184
Antofagasta,02,691854,2020-05-09,215
Atacama,03,314709,2020-05-09,111
Coquimbo,04,836096,2020-05-09,66
Valparaíso,05,1960170,2020-05-09,588
Metropolitana,13,8125072,2020-05-09,8345
O’Higgins,06,991063,2020-05-09,131
Maule,07,1131939,2020-05-09,238
Ñuble,16,511551,2020-05-09,156
Biobío,08,1663696,2020-05-09,847
Araucanía,09,1014343,2020-05-09,174
Los Ríos,14,405835,2020-05-09,135
Los Lagos,10,891440,2020-05-09,537
Aysén,11,107297,2020-05-09,35
Magallanes,12,178362,2020-05-09,54
Arica y Parinacota,15,252110,2020-05-10,74
Tarapacá,01,382773,2020-05-10,185
Antofagasta,02,691854,2020-05-10,419
Atacama,03,314709,2020-05-10,101
Coquimbo,04,836096,2020-05-10,370
Valparaíso,05,1960170,2020-05-10,489
Metropolitana,13,8125072,2020-05-10,7691
O’Higgins,06,991063,2020-05-10,269
Maule,07,1131939,2020-05-10,446
Ñuble,16,511551,2020-05-10,196
Biobío,08,1663696,2020-05-10,715
Araucanía,09,1014343,2020-05-10,372
Los Ríos,14,405835,2020-05-10,147
Los Lagos,10,891440,2020-05-10,1146
Aysén,11,107297,2020-05-10,102
Magallanes,12,178362,2020-05-10,58
Arica y Parinacota,15,252110,2020-05-11,70
Tarapacá,01,382773,2020-05-11,275
Antofagasta,02,691854,2020-05-11,245
Atacama,03,314709,2020-05-11,133
Coquimbo,04,836096,2020-05-11,95
Valparaíso,05,1960170,2020-05-11,552
Metropolitana,13,8125072,2020-05-11,8498
O’Higgins,06,991063,2020-05-11,183
Maule,07,1131939,2020-05-11,333
Ñuble,16,511551,2020-05-11,142
Biobío,08,1663696,2020-05-11,386
Araucanía,09,1014343,2020-05-11,576
Los Ríos,14,405835,2020-05-11,64
Los Lagos,10,891440,2020-05-11,1670
Aysén,11,107297,2020-05-11,93
Magallanes,12,178362,2020-05-11,58
Arica y Parinacota,15,252110,2020-05-12,83
Tarapacá,01,382773,2020-05-12,0
Antofagasta,02,691854,2020-05-12,285
Atacama,03,314709,2020-05-12,86
Coquimbo,04,836096,2020-05-12,48
Valparaíso,05,1960170,2020-05-12,518
Metropolitana,13,8125072,2020-05-12,6424
O’Higgins,06,991063,2020-05-12,0
Maule,07,1131939,2020-05-12,245
Ñuble,16,511551,2020-05-12,180
Biobío,08,1663696,2020-05-12,522
Araucanía,09,1014343,2020-05-12,90
Los Ríos,14,405835,2020-05-12,105
Los Lagos,10,891440,2020-05-12,644
Aysén,11,107297,2020-05-12,0
Magallanes,12,178362,2020-05-12,53
Arica y Parinacota,15,252110,2020-05-13,90
Tarapacá,01,382773,2020-05-13,6
Antofagasta,02,691854,2020-05-13,94
Atacama,03,314709,2020-05-13,0
Coquimbo,04,836096,2020-05-13,0
Valparaíso,05,1960170,2020-05-13,298
Metropolitana,13,8125072,2020-05-13,7173
O’Higgins,06,991063,2020-05-13,164
Maule,07,1131939,2020-05-13,329
Ñuble,16,511551,2020-05-13,0
Biobío,08,1663696,2020-05-13,1342
Araucanía,09,1014343,2020-05-13,437
Los Ríos,14,405835,2020-05-13,108
Los Lagos,10,891440,2020-05-13,194
Aysén,11,107297,2020-05-13,20
Magallanes,12,178362,2020-05-13,155
Arica y Parinacota,15,252110,2020-05-14,140
Tarapacá,01,382773,2020-05-14,274
Antofagasta,02,691854,2020-05-14,283
Atacama,03,314709,2020-05-14,4
Coquimbo,04,836096,2020-05-14,80
Valparaíso,05,1960170,2020-05-14,301
Metropolitana,13,8125072,2020-05-14,7563
O’Higgins,06,991063,2020-05-14,204
Maule,07,1131939,2020-05-14,234
Ñuble,16,511551,2020-05-14,226
Biobío,08,1663696,2020-05-14,433
Araucanía,09,1014343,2020-05-14,480
Los Ríos,14,405835,2020-05-14,107
Los Lagos,10,891440,2020-05-14,933
Aysén,11,107297,2020-05-14,110
Magallanes,12,178362,2020-05-14,130
Arica y Parinacota,15,252110,2020-05-15,107
Tarapacá,01,382773,2020-05-15,346
Antofagasta,02,691854,2020-05-15,416
Atacama,03,314709,2020-05-15,197
Coquimbo,04,836096,2020-05-15,253
Valparaíso,05,1960170,2020-05-15,1097
Metropolitana,13,8125072,2020-05-15,9948
O’Higgins,06,991063,2020-05-15,148
Maule,07,1131939,2020-05-15,241
Ñuble,16,511551,2020-05-15,183
Biobío,08,1663696,2020-05-15,1530
Araucanía,09,1014343,2020-05-15,452
Los Ríos,14,405835,2020-05-15,218
Los Lagos,10,891440,2020-05-15,921
Aysén,11,107297,2020-05-15,38
Magallanes,12,178362,2020-05-15,0
Arica y Parinacota,15,252110,2020-05-16,0
Tarapacá,01,382773,2020-05-16,268
Antofagasta,02,691854,2020-05-16,5
Atacama,03,314709,2020-05-16,311
Coquimbo,04,836096,2020-05-16,92
Valparaíso,05,1960170,2020-05-16,213
Metropolitana,13,8125072,2020-05-16,6555
O’Higgins,06,991063,2020-05-16,0
Maule,07,1131939,2020-05-16,0
Ñuble,16,511551,2020-05-16,0
Biobío,08,1663696,2020-05-16,70
Araucanía,09,1014343,2020-05-16,417
Los Ríos,14,405835,2020-05-16,81
Los Lagos,10,891440,2020-05-16,718
Aysén,11,107297,2020-05-16,32
Magallanes,12,178362,2020-05-16,51
Arica y Parinacota,15,252110,2020-05-17,106
Tarapacá,01,382773,2020-05-17,374
Antofagasta,02,691854,2020-05-17,299
Atacama,03,314709,2020-05-17,66
Coquimbo,04,836096,2020-05-17,180
Valparaíso,05,1960170,2020-05-17,839
Metropolitana,13,8125072,2020-05-17,7371
O’Higgins,06,991063,2020-05-17,168
Maule,07,1131939,2020-05-17,371
Ñuble,16,511551,2020-05-17,345
Biobío,08,1663696,2020-05-17,1544
Araucanía,09,1014343,2020-05-17,410
Los Ríos,14,405835,2020-05-17,29
Los Lagos,10,891440,2020-05-17,675
Aysén,11,107297,2020-05-17,66
Magallanes,12,178362,2020-05-17,328
Arica y Parinacota,15,252110,2020-05-18,135
Tarapacá,01,382773,2020-05-18,284
Antofagasta,02,691854,2020-05-18,345
Atacama,03,314709,2020-05-18,143
Coquimbo,04,836096,2020-05-18,205
Valparaíso,05,1960170,2020-05-18,545
Metropolitana,13,8125072,2020-05-18,11992
O’Higgins,06,991063,2020-05-18,349
Maule,07,1131939,2020-05-18,270
Ñuble,16,511551,2020-05-18,834
Biobío,08,1663696,2020-05-18,1009
Araucanía,09,1014343,2020-05-18,211
Los Ríos,14,405835,2020-05-18,77
Los Lagos,10,891440,2020-05-18,779
Aysén,11,107297,2020-05-18,14
Magallanes,12,178362,2020-05-18,323
Arica y Parinacota,15,252110,2020-05-19,78
Tarapacá,01,382773,2020-05-19,269
Antofagasta,02,691854,2020-05-19,290
Atacama,03,314709,2020-05-19,98
Coquimbo,04,836096,2020-05-19,308
Valparaíso,05,1960170,2020-05-19,529
Metropolitana,13,8125072,2020-05-19,10754
O’Higgins,06,991063,2020-05-19,143
Maule,07,1131939,2020-05-19,892
Ñuble,16,511551,2020-05-19,0
Biobío,08,1663696,2020-05-19,1119
Araucanía,09,1014343,2020-05-19,642
Los Ríos,14,405835,2020-05-19,264
Los Lagos,10,891440,2020-05-19,705
Aysén,11,107297,2020-05-19,0
Magallanes,12,178362,2020-05-19,98
Arica y Parinacota,15,252110,2020-05-20,93
Tarapacá,01,382773,2020-05-20,121
Antofagasta,02,691854,2020-05-20,386
Atacama,03,314709,2020-05-20,86
Coquimbo,04,836096,2020-05-20,128
Valparaíso,05,1960170,2020-05-20,616
Metropolitana,13,8125072,2020-05-20,7285
O’Higgins,06,991063,2020-05-20,143
Maule,07,1131939,2020-05-20,477
Ñuble,16,511551,2020-05-20,657
Biobío,08,1663696,2020-05-20,1043
Araucanía,09,1014343,2020-05-20,406
Los Ríos,14,405835,2020-05-20,50
Los Lagos,10,891440,2020-05-20,577
Aysén,11,107297,2020-05-20,68
Magallanes,12,178362,2020-05-20,333
